stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
Pennsylvania,42003401100,401100,,HARRISON  ,Harrison  ,,0.287400559
Pennsylvania,42003401200,401200,,HARRISON  ,Harrison  ,,0.319547136
Pennsylvania,42003401300,401300,,HARRISON  ,Harrison  ,,0.277777399
Pennsylvania,42003402000,402000,,BRACKENRIDGE ,Brackenridge ,,0.293869863
Pennsylvania,42003403500,403500,,TARENTUM ,Tarentum ,,0.301383809
Pennsylvania,42003404000,404000,,EAST DEER  ,East Deer  ,,0.285544851
Pennsylvania,42003405000,405000,,FRAZER  ,Frazer  ,,0.302236384
Pennsylvania,42003406000,406000,,FAWN  ,Fawn  ,,0.297646987
Pennsylvania,42003407001,407001,,WEST DEER  ,West Deer  ,,0.295120457
Pennsylvania,42003407002,407002,,WEST DEER  ,West Deer  ,,0.24920572
Pennsylvania,42003408001,408001,,RICHLAND  ,Richland  ,,0.241090845
Pennsylvania,42003408002,408002,,RICHLAND  ,Richland  ,,0.229468598
Pennsylvania,42003409000,409000,,PINE  ,Pine  ,,0.186492832
Pennsylvania,42003410000,410000,,BRADFORD WOODS ,Bradford Woods ,,0.169647079
Pennsylvania,42003411000,411000,,MARSHALL  ,Marshall  ,,0.168018771
Pennsylvania,42003412001,412001,,FRANKLIN PARK ,Franklin Park ,,0.18523749
Pennsylvania,42003412002,412002,,FRANKLIN PARK ,Franklin Park ,,0.180747833
Pennsylvania,42003413100,413100,,MCCANDLESS  ,McCandless  ,,0.184320312
Pennsylvania,42003413201,413201,,MCCANDLESS  ,McCandless  ,,0.217441036
Pennsylvania,42003413202,413202,,MCCANDLESS  ,McCandless  ,,0.209900075
Pennsylvania,42003413300,413300,,MCCANDLESS  ,McCandless  ,,0.226590277
Pennsylvania,42003413400,413400,,MCCANDLESS  ,McCandless  ,,0.199769233
Pennsylvania,42003413500,413500,,MCCANDLESS  ,McCandless  ,,0.22090451
Pennsylvania,42003414101,414101,,HAMPTON  ,Hampton  ,,0.225529666
Pennsylvania,42003414102,414102,,HAMPTON  ,Hampton  ,,0.229246436
Pennsylvania,42003414200,414200,,HAMPTON  ,Hampton  ,,0.221216893
Pennsylvania,42003415001,415001,,INDIANA  ,Indiana  ,,0.253933139
Pennsylvania,42003415002,415002,,INDIANA  ,Indiana  ,,0.228948162
Pennsylvania,42003416000,416000,,SPRINGDALE  ,Springdale  ,,0.299291762
Pennsylvania,42003417100,417100,,SPRINGDALE ,Springdale ,,0.300268288
Pennsylvania,42003417200,417200,,SPRINGDALE ,Springdale ,,0.299905661
Pennsylvania,42003418000,418000,,CHESWICK ,Cheswick ,,0.275244316
Pennsylvania,42003419000,419000,,HARMAR  ,Harmar  ,,0.281508479
Pennsylvania,42003420000,420000,,BLAWNOX ,Blawnox ,,0.256566085
Pennsylvania,42003421100,421100,,O'HARA  ,O'Hara  ,,0.20881598
Pennsylvania,42003421200,421200,,O'HARA  ,O'Hara  ,,0.204272327
Pennsylvania,42003422000,422000,,FOX CHAPEL ,Fox Chapel ,,0.144489801
Pennsylvania,42003423000,423000,,ASPINWALL ,Aspinwall ,,0.196464215
Pennsylvania,42003424000,424000,,SHARPSBURG ,Sharpsburg ,,0.300086701
Pennsylvania,42003425000,425000,,ETNA ,Etna ,,0.279191196
Pennsylvania,42003426300,426300,,SHALER  ,Shaler  ,,0.260053481
Pennsylvania,42003426400,426400,,SHALER  ,Shaler  ,,0.261909163
Pennsylvania,42003426700,426700,,MILLVALE ,Millvale ,,0.251654138
Pennsylvania,42003426800,426800,,SHALER  ,Shaler  ,,0.256507232
Pennsylvania,42003427000,427000,,SHALER  ,Shaler  ,,0.30979523
Pennsylvania,42003427100,427100,,SHALER  ,Shaler  ,,0.259363806
Pennsylvania,42003427200,427200,,SHALER  ,Shaler  ,,0.294905805
Pennsylvania,42003428100,428100,,RESERVE  ,Reserve  ,,0.295929631
Pennsylvania,42003428200,428200,,RESERVE  ,Reserve  ,,0.298014815
Pennsylvania,42003429100,429100,,ROSS  ,Ross  ,,0.246798792
Pennsylvania,42003429201,429201,,ROSS  ,Ross  ,,0.216467265
Pennsylvania,42003429202,429202,,ROSS  ,Ross  ,,0.231577996
Pennsylvania,42003429300,429300,,ROSS  ,Ross  ,,0.259079609
Pennsylvania,42003429400,429400,,ROSS  ,Ross  ,,0.249928487
Pennsylvania,42003429500,429500,,ROSS  ,Ross  ,,0.244087567
Pennsylvania,42003429600,429600,,ROSS  ,Ross  ,,0.247170356
Pennsylvania,42003429700,429700,,ROSS  ,Ross  ,,0.284032198
Pennsylvania,42003430100,430100,,WEST VIEW ,West View ,,0.256048622
Pennsylvania,42003430200,430200,,WEST VIEW ,West View ,,0.265307399
Pennsylvania,42003431100,431100,,BELLEVUE ,Bellevue ,,0.269698291
