stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
Pennsylvania,42003560600,560600,,WILKINSBURG ,Wilkinsburg ,,0.524226161
Pennsylvania,42003561000,561000,,WILKINSBURG ,Wilkinsburg ,,0.496650446
Pennsylvania,42003561100,561100,,WILKINSBURG ,Wilkinsburg ,,0.60500279
Pennsylvania,42003561200,561200,,WILKINSBURG ,Wilkinsburg ,,0.506953468
Pennsylvania,42003561400,561400,,WILKINSBURG ,Wilkinsburg ,,0.385814864
Pennsylvania,42003561500,561500,,WILKINSBURG ,Wilkinsburg ,,0.388965278
Pennsylvania,42003561600,160300,561600,PITTSBURGH  ,Pittsburgh  ,Arlington,0.334520462
Pennsylvania,42003561600,160400,561600,PITTSBURGH  ,Pittsburgh  ,Arlington Heights,0.473120252
Pennsylvania,42003561700,160600,561700,PITTSBURGH  ,Pittsburgh  ,Saint Clair,0.699500402
Pennsylvania,42003561700,160700,561700,PITTSBURGH  ,Pittsburgh  ,Mount Oliver Neighborhood,0.380567299
Pennsylvania,42003561900,120100,"561900, 980000 & 981800",PITTSBURGH  ,Pittsburgh  ,Lincoln-Lemington-Belmar,0.637099034
Pennsylvania,42003562000,40300,562000 & 982200,PITTSBURGH  ,Pittsburgh  ,North Oakland,0.070352811
Pennsylvania,42003562300,150100,562300,PITTSBURGH  ,Pittsburgh  ,Hazelwood,0.371847244
Pennsylvania,42003562300,150400,562300,PITTSBURGH  ,Pittsburgh  ,Glen Hazel,0.383138055
Pennsylvania,42003562400,180600,562400,PITTSBURGH  ,Pittsburgh  ,Bon Air,0.289504665
Pennsylvania,42003562400,180900,562400,PITTSBURGH  ,Pittsburgh  ,Beltzhoover,0.479978155
Pennsylvania,42003562500,201700,562500,PITTSBURGH  ,Pittsburgh  ,Esplen,0.348333537
Pennsylvania,42003562500,201800,562500,PITTSBURGH  ,Pittsburgh  ,Sheraden,0.348089355
Pennsylvania,42003562600,201900,562600,PITTSBURGH  ,Pittsburgh  ,West End,0.287903689
Pennsylvania,42003562600,202000,562600,PITTSBURGH  ,Pittsburgh  ,Elliott,0.344055061
Pennsylvania,42003562700,220100,562700,PITTSBURGH  ,Pittsburgh  ,Allegheny West,0.20639897
Pennsylvania,42003562700,220400,562700,PITTSBURGH  ,Pittsburgh  ,Allegheny Center,0.313581335
Pennsylvania,42003562800,280500,562800,PITTSBURGH  ,Pittsburgh  ,East Carnegie,0.332559825
Pennsylvania,42003562800,281200,562800,PITTSBURGH  ,Pittsburgh  ,Oakwood,0.268579214
Pennsylvania,42003562900,310100,562900,PITTSBURGH  ,Pittsburgh  ,Hays,0.306539098
Pennsylvania,42003563000,202100,563000,PITTSBURGH  ,Pittsburgh  ,Chartiers City,0.438444683
Pennsylvania,42003563000,280700,563000,PITTSBURGH  ,Pittsburgh  ,Windgap,0.340615473
Pennsylvania,42003563000,280800,563000,PITTSBURGH  ,Pittsburgh  ,Fairywood,0.820311359
Pennsylvania,42003563100,201600,563100,PITTSBURGH  ,Pittsburgh  ,Ridgemont,0.27678553
Pennsylvania,42003563100,281100,563100,PITTSBURGH  ,Pittsburgh  ,Westwood,0.268105915
Pennsylvania,42003563200,230400,563200,PITTSBURGH  ,Pittsburgh  ,East Allegheny,0.388730745
Pennsylvania,42003563300,438000,563300,SEWICKLEY HILLS ,Sewickley Hills ,,0.198084055
Pennsylvania,42003563300,440000,563300,SEWICKLEY HEIGHTS ,Sewickley Heights ,,0.204027056
Pennsylvania,42003563800,433000,563800,BEN AVON HEIGHTS ,Ben Avon Heights ,,0.127445941
Pennsylvania,42003563800,436000,563800,KILBUCK  ,Kilbuck  ,,0.239786066
Pennsylvania,42003563800,441000,563800,ALEPPO  ,Aleppo  ,,0.219856787
Pennsylvania,42003563800,442000,563800,GLENFIELD ,Glenfield ,,0.303860638
Pennsylvania,42003563800,443000,563800,HAYSVILLE ,Haysville ,,0.291313985
Pennsylvania,42003563800,444000,563800,GLEN OSBORNE ,Glen Osborne ,,0.195962113
Pennsylvania,42003563900,511000,563900,CHALFANT ,Chalfant ,,0.28788103
Pennsylvania,42003563900,518002,563900,FOREST HILLS ,Forest Hills ,,0.242964131
Pennsylvania,42003564000,453002,564000,NORTH FAYETTE  ,North Fayette  ,,0.294893715
Pennsylvania,42003564000,454000,564000,MC DONALD  (PART),Mc Donald  (part),,0.277667366
Pennsylvania,42003564100,466000,564100,THORNBURG ,Thornburg ,,0.161277506
Pennsylvania,42003564100,467000,564100,ROSSLYN FARMS ,Rosslyn Farms ,,0.145469927
Pennsylvania,42003564200,502000,564200,SOUTH VERSAILLES  ,South Versailles  ,,0.300970771
Pennsylvania,42003564200,503001,564200,WHITE OAK ,White Oak ,,0.285672762
Pennsylvania,42003564400,504400,5644,NORTH VERSAILLES  ,North Versailles  ,,0.294694007
Pennsylvania,42003564400,505000,5644,TRAFFORD (PART),Trafford (part),,0.249314142
Pennsylvania,42003564400,506000,5644,WALL ,Wall ,,0.304833996
Pennsylvania,42003564500,491102,564500,JEFFERSON HILLS ,Jefferson Hills ,,0.294325941
Pennsylvania,42003564500,493000,564500,WEST ELIZABETH ,West Elizabeth ,,0.299610881
Pennsylvania,42003980000,120200,"561900, 980000 & 981800",PITTSBURGH  ,Pittsburgh  ,Lincoln-Lemington-Belmar,0.525315088
Pennsylvania,42003980600,210800,980600,PITTSBURGH  ,Pittsburgh  ,Chateau,0.439386232
Pennsylvania,42003980700,192100,980700,PITTSBURGH  ,Pittsburgh  ,South Shore,0.354375073
Pennsylvania,42003981200,220500,563200 & 981200,PITTSBURGH  ,Pittsburgh  ,North Shore,0.12148674
Pennsylvania,42003981800,120300,,PITTSBURGH  ,Pittsburgh  ,Lincoln-Lemington-Belmar,0.574293284
Pennsylvania,42003982200,50700,562000 & 982200,PITTSBURGH  ,Pittsburgh  ,North Oakland,0.138805552
